authors,year,title,publication,links
"Vogel E, McCollough A, Fair JA & Woodman GF",2005,Maintaining visual short-term memory representations across new object onsets,,[Link](https://doi.org/10.1167/5.8.1066)
Drew T & Vogel E,2005,Repeated masks are less effective,,[Link](https://doi.org/10.1167/5.8.75)
Vogel E & Machizawa MG,2004,Capacity limit of visual short-term memory in human posterior parietal cortex,,[Link](https://www.semanticscholar.org/paper/d4881bcd8c3cb47dceb21928ecbf9d1b4afe652a) \| [PDF](/files/pdfs/vogel_2004_neural-activty-indv-differences.pdf)
"Mayr U, Awh E & Laurey P",2003,Conflict adaptation effects in the absence of executive control,<i>Nature Neuroscience</i>,[Link](https://doi.org/10.1038/nn1051) \| [PDF](/files/pdfs/mayr_2003_conflict-adaptation.pdf)
"Awh E, Matsukura M & Serences J",2003,Top-down control over biased competition during covert spatial orienting.,<i>Journal of Experimental Psychology: Human Perception and Performance</i>,[Link](https://doi.org/10.1037//0096-1523.29.1.52) \| [PDF](/files/pdfs/awh_2003_top-down-biased-competition.pdf)
"Schmidt B, Vogel E, Woodman GF & Luck S",2002,Voluntazy and automatic attentional control of visual working memory.,<i>Perception & Psychophysics</i>,[Link](https://www.semanticscholar.org/paper/444fd450f873ebb35bb9c409eb51a1fc9a2c5b34) \| [PDF](/files/pdfs/schmidt_2002_voluntary-automatic-attn-control.pdf)
"Vecera S, Vogel E & Woodman GF",2002,Lower region: a new cue for figure-ground assignment.,<i>Journal of experimental psychology. General</i>,[Link](https://doi.org/10.1037/0096-3445.131.2.194) \| [PDF](/files/pdfs/vecera_2002_lower-region-new-cue.pdf)
"Schmidt B, Vogel E, Woodman GF & Luck S",2002,Voluntary and automatic attentional control of visual working memory,,[Link](https://doi.org/10.3758/BF03194742) \| [PDF](/files/pdfs/schmidt_2002_voluntary-automatic-attn-control.pdf)
Awh E & Jonides J,2001,Overlapping mechanisms of attention and spatial working memory.,<i>Trends in Cognitive Sciences</i>,[Link](https://doi.org/10.1016/S1364-6613(00)01593-X) \| [PDF](/files/pdfs/awh_2001_overlapping-mechanisms.pdf)
"Woodman GF, Vogel E & Luck S",2001,Attention is not unitary,<i>Behavioral and Brain Sciences</i>,[Link](https://doi.org/10.1017/S0140525X01603923) \| [PDF](/files/pdfs/woodman_2001_visual-search-efficient.pdf)
Luck S & Vogel E,2001,Multiple sources of interference in dual-task performance: the cases of the attentional blink and the psychological refractory period,,[Link](https://doi.org/10.1093/ACPROF:OSO/9780198505150.003.0007)
"Drew T, Horowitz T, Wolfe J & Vogel E",2000,Temporal dynamics of interhemispheric transfer of moving object information,,[Link](https://www.semanticscholar.org/paper/8064964877216b5822f1c5c5d55186d44e6014f8)
Awh E & Gehring W,1999,The anterior cingulate cortex lends a hand in response selection,<i>Nature Neuroscience</i>,[Link](https://doi.org/10.1038/13145) \| [PDF](/files/pdfs/awh_1999_anterior-cingulate-cortex.pdf)
Awh E & Jonides J,1998,Spatial working memory and spatial selective attention.,,[Link](https://www.semanticscholar.org/paper/73a7ce6a09c64cc091e24c0a91d8bd362ad6df43)
"Awh E, Jonides J & Reuter-Lorenz P",1998,Rehearsal in spatial working memory.,<i>Journal of Experimental Psychology: Human Perception and Performance</i>,[Link](https://doi.org/10.1037//0096-1523.24.3.780)
"Vogel EK, Luck SJ & Shapiro K",1998,Electrophysiological evidence for a postperceptual locus of suppression during the attentional blink.,<i>Journal of Experimental Psychology: Human Perception and Performance</i>,[Link](https://doi.org/10.1037/0096-1523.24.6.1656) \| [PDF](/files/pdfs/vogel_1998_electrophysiological-evidence-postperceptual-locus.pdf)
"Jonides J, Schumacher E, Smith EE, Lauber E, Awh E, Minoshima S & Koeppe R",1997,Verbal Working Memory Load Affects Regional Brain Activation as Measured by PET,<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/jocn.1997.9.4.462)
"Awh E, Jonides J, Smith EE, Schumacher E, Koeppe R & Katz S",1996,Dissociation of Storage and Rehearsal in Verbal Working Memory: Evidence From Positron Emission Tomography,,[Link](https://doi.org/10.1111/J.1467-9280.1996.TB00662.X) \| [PDF](/files/pdfs/awh_1996_dissociation-storage-rehearsal.pdf)
Awh E,1996,Attention-based rehearsal in spatial working memory.,,[Link](https://www.semanticscholar.org/paper/4f7285376aeb8b56a5340ba59bfb4241b4b9d038) \| [PDF](/files/pdfs/awh_1996_dissociation-storage-rehearsal.pdf)
"Smith EE, Jonides J, Koeppe R, Awh E, Schumacher E & Minoshima S",1995,Spatial versus Object Working Memory: PET Investigations,<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/jocn.1995.7.3.337)
"Koevoet D, Moorselaar DV, Awh E & Stigchel SVd",2026,Past and present goals are represented concurrently during visual search,<i>PLoS Biology</i>,[Link](https://doi.org/10.1371/journal.pbio.3003779)
"Koevoet D, Voet V, Jones HM, Awh E, Strauch C & Stigchel Svd",2025,Population-Level Activity Dissociates Preparatory Overt from Covert Attention,<i>Journal of Neuroscience</i>,[Link](https://doi.org/10.1101/2025.05.07.652629)
"Bender A, Zhao C, Vogel EK, Awh E & Voytek B",2025,"Correction for Bender et al., Differential representations of spatial location by aperiodic and alpha oscillatory activity in working memory",<i>Proceedings of the National Academy of Sciences of the United States of America</i>,[Link](https://doi.org/10.1073/pnas.2524377122)
"Chang W, Epstein W, Ngiam W, Jones HM & Awh E",2025,Content-independent pointers mediate working memory storage for both visual and verbal stimuli,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.25.9.1883)
"Koevoet D, Voet V, Awh E, Jones HM, Strauch C & Stigchel Svd",2025,Sharper Spatially-Tuned Neural Activity in Preparatory Overt than in Covert Attention,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.25.9.1953)
"Koevoet D, Jones HM, Stigchel Svd & Awh E",2025,Dissociating Spatial Attention and Working Memory Storage with Pupillometry.,<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/JOCN.a.2395)
"Ye C, Xu Q, Guo L, Awh E, Vogel EK, Liu Q & Xie W",2025,Image Memorability Facilitates Visual Working Memory Formation: Electrophysiological Evidence from Contralateral Delay Activity,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.25.9.2308)
"Jones HM, Bai D, Scholl B & Awh E",2025,Electroencephalogram decoding of the attentional selection and tracking of featureless objects,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.25.9.2120)
"Ngiam W, Thyer W, Jones HM, Suplica D, Epstein W & Awh E",2024,Associative learning changes multivariate neural signatures of visual working memory,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.24.10.589)
"Styrkowiec P, Ngiam W, Epstein W, Gneezy R, Awh E & Vogel EK",2024,Spatiotemporal processing drives the contralateral delay activity in a dual working memory and attentional tracking task,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.24.10.992)
"Adekoya T, Zhao C, Vogel EK & Awh E",2024,A Change Localization Benefit for Mixed Arrays Over Uniform Arrays,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.24.10.636)
Park H & Awh E,2024,Unfolding Serial Dependence Across Perception and Working Memory Processes,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.24.10.404)
"Jones HM, Suplica D, Thyer W & Awh E",2024,Storage in working memory recruits a modality-independent pointer system,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.24.10.563)
"Günseli E, Foster JJ, Sutterer DW, Todorova L, Vogel E & Awh E",2024,Encoded and updated spatial working memories share a common representational format in alpha activity,<i>iScience</i>,[Link](https://doi.org/10.1016/j.isci.2024.108963)
"Zhao C, Adekoya T, Horwitz S, Awh E & Vogel EK",2024,Visual working memory load persists during the comparison phase,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.24.10.330)
"Jones HM, Ngiam W & Awh E",2023,EEG Decoding Reveals Distinct Processes for Directing Spatial Attention and Encoding into Working Memory.,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.23.9.5617)
"Adam KCS, Awh E & Serences J",2023,Univariate and multivariate load-dependent signals in human cortex,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.23.9.5876)
Zhao C & Vogel E,2023,Lateralized EEG markers of attention preceding and following shifts in eye position,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.23.9.4854)
Styrkowiec P & Vogel E,2023,Attentional tracking within and across visual hemifields and brain hemispheres.,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.23.9.5575)
Zhao C & Vogel EK,2026,Working memory and attentional control abilities predict individual differences in visual long-term memory tasks,<i>Journal of Memory and Language</i>,[Link](https://www.sciencedirect.com/science/article/pii/S0749596X25000580?via%3Dihub) \| [Data](https://osf.io/e8ptm/) \| [PDF](/files/pdfs/ZhaoVogel_2026_JML.pdf) 
"Park, HB & Awh, E",2026,"Contributions from Long-Term Memory Explain Superior
Visual Working Memory Performance with Meaningful
Objects",<i>Journal of Neuroscience </i>,[Link](https://www.jneurosci.org/content/46/5/e1660252025) \| [Data](https://osf.io/e8ptm/) \| [PDF](/files/pdfs/ParkAwh_2026_JNeuro.pdf) 
"Styrkowiec, P P, Ngiam, WXQ., Epstein, W, Gneezy, R, Jones, HM, Awh, E, & Vogel, EK",2026,Item-based parsing of dynamic scenes in a combined attentional tracking and working memory task.,<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/JOCN.a.96)
"Park, HB",2025,Process dynamics of serial biases in visual perception and working memory processes,*Psychonomic Bulletin & Review* ,[Link](https://link.springer.com/article/10.3758/s13423-025-02714-5) \| [Data](https://osf.io/xem4w/?view_only=c16400ec980949989c5d0d500ece858f) \| [PDF](/files/pdfs/Park_2025_PBR.pdf) 
"Suplica D, Jones, HM, Diaz GK, Veillette JP, Nusbaum HC, Awh E",2025,Neural evidence for modality-independent storage in working memory,<i>Current Biology. </i>,[Link](https://www.sciencedirect.com/science/article/pii/S0960982225010383?dgcid=author) \| [Data](https://osf.io/j84r5/) \|  [PDF](/files/pdfs/suplica_2025_currbio.pdf) 
Zhao C & Vogel EK,2025, Individual Differences in Working Memory and Attentional Control Continue to Predict Memory Performance Despite Extensive Learning,<i>Journal of Experimental Psychology: General </i>,[Link](https://psycnet.apa.org/record/2025-73702-001) \| [Data](https://osf.io/dvumt/) \| [PDF](/files/pdfs/ZhaoVogel_JEPG_2025.pdf) 
Awh E & Vogel EK,2025,Working memory needs pointers,<i>Trends in Cognitive Sciences </i>, [PDF](/files/pdfs/awh_vogel_2025_WM-needs-pointers.pdf) 
"Jones HM, Thyer TS, Suplica D, Awh E",2024,Cortically disparate visual features evoke content-independent load signals during storage in working memory,<i>Journal of Neuroscience </i>,[Link](https://www.jneurosci.org/content/early/2024/09/24/JNEUROSCI.0448-24.2024) \| [Data](https://osf.io/q8fya/) \| [Github](https://github.com/henrymj/ContentIndependentLoad)
"Jones HM, Diaz GK, Ngiam WXQ, Awh E",2024,Electroencephalogram Decoding Reveals Distinct Processes for Directing Spatial Attention and Encoding Into Working Memory,*Psychological Science*,[Link](https://journals.sagepub.com/eprint/C96TUDM5JRTQHBGMDJMC/full) \| [Data](https://osf.io/8vur2/) \| [Github](https://github.com/henrymj/DissociatingWMLoadFromSpatialAttention)
Ngiam WXQ,2023,Mapping visual working memory models to a theoretical framework ,*Psychonomic Bulletin & Review* ,[Link](https://doi.org/10.3758/s13423-023-02356-5) \| [PsyArXiv](https://psyarxiv.com/g8erx)
"Ngiam WXQ, Loetscher KB, Awh E",2023,Object-based encoding constrains storage in visual working memory,*Journal of Experimental Psychology: General*,[Link](https://doi.org/10.1037/xge0001479) \| [PDF](/files/pdfs/ngiam_2023_object-based.pdf) \| [PsyArXiv](https://psyarxiv.com/mc5p9) \| [Data and Code](https://osf.io/wjr7u/)
Zhao C & Vogel EK,2023, Sequential encoding paradigm reliably captures the individual differences from a simultaneous visual working memory task,"*Attention, Perception, & Psychophysics*. ", [PDF](/files/pdfs/ZhaoVogel_SequentialVWM_2023.pdf)
"Zhao C, Vogel E, & Awh E",2022, Change localization: A highly reliable and sensitive measure of capacity in visual working memory,"*Attention, Perception, & Psychophysics*. ", [PDF](/files/pdfs/zhao_2022_change_localization.pdf) | [Link](https://doi.org/10.3758/s13414-022-02586-0)
"Thyer W, Adam KCS, Diaz GK, Velázquez Sánchez IN, Vogel EK, Awh E",2022,Storage in visual working memory recruits a content-independent pointer system.,<i>Psychological Science<i>.,[PDF](/files/pdfs/Thyer_et_al_2022.pdf) | [Link](https://journals.sagepub.com/doi/10.1177/09567976221090923) | [Data](https://osf.io/uhbx5/)
"Feldmann-Wüstefeld T, Awh E",2020,Alpha-band Activity Tracks the Zoom Lens of Attention, <i>Journal of Cognitive Neuroscience</i>, [PDF](/files/pdfs/feldmann-wustefeld_2020_ZoomLens.pdf)
"Ngiam WXQ, Foster JJ, Adam KCS, Awh E",2022,Distinguishing guesses from fuzzy memories: Further evidence for item limits in visual working memory,"<i>Attention, Perception, & Psychophysics</i>",[PDF](/files/pdfs/ngiam_2022_distinguishing.pdf) | [PsyArXiv](https://psyarxiv.com/bkdya) | [Data and Code](https://osf.io/64rdq/)
"Keene PA\*, deBettencourt MT\*, Awh E, Vogel EK",2022,Pupillometry signatures of sustained attention and working memory.,"*Attention, Perception and Psychophysics*",[BioRxiv](https://www.biorxiv.org/content/10.1101/2021.01.18.426969v1) \| [Link](https://link.springer.com/article/10.3758/s13414-022-02557-5) \| [PDF](/files/pdfs/keene_2022_pupillometry.pdf)
"Diaz GK, Vogel EK, Awh E",2021,Perceptual grouping reveals distinct roles for sustained slow wave activity and alpha oscillations in working memory.,<i>Journal of Cognitive Neuroscience.</i> ,[Link](https://doi.org/10.1162/jocn_a_01719) \| [Data](https://osf.io/7rxqf/)
"Hakim N, Awh E, Vogel EK, & Rosenberg MD",2021,Inter-electrode correlations measured with EEG predict individual differences in cognitive ability.,<i>Current Biology. </i>,[PDF](/files/pdfs/hakim_etal_2021_individual_differences.pdf) \| [Link](https://doi.org/10.1016/j.cub.2021.09.036)
"Foster JJ, Vogel EK, & Awh E",2019,Working memory as persistent neural activity.,In MJ Kahana & AD Wagner (Eds). Oxford Handbook of Human Memory. Oxford University Press. ,[PDF](https://psyarxiv.com/jh6e3)
"deBettencourt MT, Williams SD, Vogel EK, Awh E",2021,Sustained attention and spatial attention distinctly influence long-term memory encoding.,<i>Journal of Cognitive Neuroscience</i>,[PDF](/files/pdfs/deBettencourt_JCognNeurosci_2021.pdf) \| [Link](https://direct.mit.edu/jocn/article/33/10/2132/102759/Sustained-Attention-and-Spatial-Attention)
"Foster JJ, Thyer W, Wennberg JW, Awh E",2021,Covert attention increases the gain of stimulus-evoked population codes.,<i>Journal of Neuroscience. </i>,[PDF](/files/pdfs/Foster_2021_JNeurosci.pdf)  \| [Data](https://osf.io/hmvzc/)
"Hakim N, Feldmann-Wüstefeld T, Awh E, & Vogel EK",2021,Controlling the flow of distracting information in working memory.,<i>Cerebral Cortex.</i>  ,[PDF](/files/pdfs/Hakim_et_al_2021_CerebralCortex.pdf) \| [Data](https://osf.io/3ftvj/?view_only=78990b6136a34a0993f026d7c7697a59)
"Ngiam WXQ, Adam KCS, Quirk C, Vogel EK, Awh E",2021,Estimating statistical power to detect set size effects in contralateral delay activity.,*Psychophysiology*. ,[PDF](https://williamngiam.github.io/files/CDApower.pdf) \| [PsyArXiv](https://psyarxiv.com/nbvkc) \| [Hakim et al. data](https://osf.io/ws3j9/) and [Unsworth et al. data](https://osf.io/qeaet/)
"Hakim N, Awh E, Vogel EK",2020,Manifold working memory.,"In <em>Working memory: a multicomponent model</em> (Eds. Robert Logie, Nelson Cowan, and Valerie Camos) Oxford University Press. ","[Book Link](https://books.google.com/books?hl=en&lr=&id=cz0HEAAAQBAJ&oi=fnd&pg=PA1&dq=Manifold+working+memory.+In+Working+memory:+a+multicomponent+model+(Eds.+Robert+Logie,+Nelson+Cowan,+and+Valerie+Camos)+Oxford+University+Press.&ots=36ywgtdBnt&sig=6uiX21krjhS0tvqeRqIanjJIZQA#v=onepage&q=Manifold%20working%20memory.%20In%20Working%20memory%3A%20a%20multicomponent%20model%20(Eds.%20Robert%20Logie%2C%20Nelson%20Cowan%2C%20and%20Valerie%20Camos)%20Oxford%20University%20Press.&f=false)"
"Adam, K. C., Vogel, E. K., & Awh, E.",2020,Multivariate analysis reveals a generalizable human electrophysiological signature of working memory load.,<i>Psychophysiology. </i>,[PDF](/files/pdfs/Adams2020.pdf)  \| [Data](https://osf.io/6jkqu/)
"Quirk C, Adam KCS, Vogel EK",2020,No Evidence for an Object Working Memory Capacity Benefit with Extended Viewing Time.,<i>eNeuro</i> ,[PDF](https://colinquirk.com/publications/papers/Quirk_eneuro2020.pdf)
"Hakim N, deBettencourt MT, Awh E, & Vogel EK",2020,Attention fluctuations impact ongoing maintenance of information in working memory.,*Psychonomic Bulletin & Review*. ,[PDF](/files/pdfs/Hakim2020_Article_AttentionFluctuationsImpactOng.pdf)  \| [Data](https://osf.io/cg5f2/?view_only=ceb70b58c382498cb5d9ffc82223a157)
"Foster JJ, Bsales EM, & Awh E",2020,Covert spatial attention speeds target individuation.,<i>Journal of Neuroscience.</i> ,[PDF](/files/pdfs/Foster2020.pdf) \| [Data](https://osf.io/a9mvb/)
"Hakim N, Feldmann-Wüstefeld T, Awh E, & Vogel EK",2020,Perturbing neural representations of working memory with task-irrelevant interruption.,<i>Journal of Cognitive Neuroscience.</i> ,[PDF](/files/pdfs/Hakim_et_al_JoCN_published_pdf.pdf) \| [Data](https://osf.io/g5ahn/?view_only=4dd5c22fdcb6457689d73d3bf892b5cb)
"Ngiam WXQ, Brissenden JA & Awh E.",2019,“Memory compression” effects in visual working memory are contingent on explicit long-term memory.,*Journal of Experimental Psychology: General*. ,[PDF](/files/pdfs/ngiam_2019_memory.pdf) \| [Data](https://osf.io/9c4rj/)
"Sutterer DW, Foster JJ, Serences JT, Vogel EK & Awh E",2019,Alpha-band oscillations track the retrieval of precise spatial representations from long-term memory.,*Journal of Neurophysiology*. ,[PDF](/files/pdfs/sutterer_2019_alpha-band.pdf)
"deBettencourt MT, Keene PA, Awh E & Vogel EK",2019,Real-time triggering reveals concurrent lapses of attention and working memory.,*Nature Human Behaviour*. ,[PDF](/files/pdfs/debettencourt_2019_real-time.pdf) \| [Journal Website](https://www.nature.com/articles/s41562-019-0606-6) \| [Data](https://osf.io/hfeu8/)
Fukuda K & Vogel EK.,2019,Visual short-term memory capacity predicts the “bandwidth” of visual long-term memory encoding.,*Memory & Cognition*. ,[PDF](/files/pdfs/fukuda_2019_visual.pdf)
"Sutterer DW*, Foster JJ*, Adam KCS, Vogel EK, & Awh E",2019,Item-specific delay activity demonstrates concurrent storage of multiple active neural representations in working memory.,*PLoS Biology*. ,[PDF](https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000239) \| [Data](https://osf.io/47cmn/)
"Hakim N, Adam KCS, Gunseli E, Awh E, & Vogel EK",2019,Dissecting the Neural Focus of Attention Reveals Distinct Processes for Spatial Attention and Object-Based Storage in Visual Working Memory.,*Psychological Science*. ,[PDF](/files/pdfs/Hakim_PsychSci.pdf) \| [Data](https://osf.io/ws3j9/?view_only=40b7f0018df44d5a862b51601d4599ed)
Scolari M & Awh E,2019,Object-based biased competition during covert spatial orienting.,"*Attention, Perception, & Psychophysics*. ",[PDF](/files/pdfs/Scolari_2019_Object-based.pdf)
Foster JJ & Awh E,2019,The role of alpha oscillations in spatial attention: Limited evidence for a suppression account.,*Current Opinion in Psychology*. ,[PDF](/files/pdfs/Foster_2019_Alpha-oscillations.pdf)
"Feldmann-Wüstefeld T, Vogel EK & Awh E",2018,"Contralateral Delay Activity reflects working memory storage, not the current focus of spatial attention within visual working memory.",*Journal of Cognitive Neuroscience*. ,[PDF](/files/pdfs/feldmann-wustefeld_2018_Cotralateral.pdf) \| [Data](https://osf.io/7fyuc/)
Hakim N & Vogel EK,2018,Phase-coding memories in mind.,*PLoS Biology*. ,[PDF](/files/pdfs/hakim_2018_phase-coding.pdf)
"Sprague TC, Adam KCS, Foster JJ, Rahmati M, Sutterer DW & Vo VA",2018,"Inverted encoding models assay population-level stimulus representations, not single-unit neural tuning.",*eNeuro*. ,[PDF](https://www.eneuro.org/content/5/3/ENEURO.0098-18.2018)
Feldmann-Wüstefeld T & Vogel EK,2018,Neural Evidence for the Contribution of Active Suppression During Working Memory Filtering.,*Cerebral Cortex*. ,[PDF](/files/pdfs/feldmann-wustefeld_2018_Neural-evidence.pdf) \| [Data](https://osf.io/a65xz/)
"Adam KCS, Robison MK, & Vogel EK",2018,Contralateral delay activity tracks fluctuations in working memory performance.,*Journal of Cognitive Neuroscience*. ,[PDF](/files/pdfs/adam_2018_Contralateral.pdf) \| [Data](https://osf.io/8xuk3/)
"Huang, L & Awh E",2018,Chunking in working memory via content-free labels.,*Scientific Reports*. ,[PDF](/files/pdfs/huang_2018_chunking.pdf)
"van Moorselaar D, Foster JJ, Sutterer DW, Theeuwes J, Olivers CNL & Awh E",2018,Spatially selective alpha oscillations reveal moment-by-moment trade-offs between working memory and attention.,*Journal of Cognitive Neuroscience*. ,[PDF](/files/pdfs/van-moorselaar_2018_spatially-selective.pdf) \| [Data](https://osf.io/56rzh/)
"Xu Z, Adam KCS, Fang X, Vogel EK",2018,The reliability and stability of visual working memory capacity.,*Behavior Research Methods*. ,[PDF](/files/pdfs/xu_2018_reliability.pdf) \| [Data](https://osf.io/g7txf/)
"Oberauer K, Sutterer DW, & Awh E",2017,The role of long-term memory in a test of visual working memory: Proactive facilitation but no proactive interference.,"*Journal of Experimental Psychology: Learning, Memory, and Cognition*. ",[PDF](/files/pdfs/oberauer_2017_role-of-ltm.pdf)
"Adam KCS, Vogel EK, & Awh E",2017,Clear evidence for item limits in visual working memory.,*Cognitive Psychology*. ,[PDF](/files/pdfs/adam_2017_clear-evidence.pdf) \| [Data](https://osf.io/kjpnk/) \| [Supplemental](/files/pdfs/adam_supplemental_2017.pdf) \| [Corrigendum](/files/pdfs/adam_2017_corrigendum.pdf)
"Foster JJ, Bsales EM, Jaffe RJ, & Awh E",2017,Alpha-band activity reveals spontaneous representations of spatial position in visual working memory.,*Current Biology*. ,[PDF](/files/pdfs/foster_2017_alpha-band.pdf) \| [Data](https://osf.io/vw4uc/) \| [Research Highlight](https://www.nature.com/articles/nrn.2017.143?WT.ec_id=NRN-201712&spMailingID=55372847&spUserID=NzM5Njg0NjU0NzUS1&spJobID=1282840712&spReportId=MTI4Mjg0MDcxMgS2)
Adam KCS & Vogel EK,2017,Confident failures: Lapses of working memory reveal a metacognitive blind spot.,"*Attention, Perception, & Psychophysics*. ",[PDF](/files/pdfs/adam_2017_confident-failures.pdf) \| [Data](https://osf.io/syv5w/) \| [Supplemental](/files/pdfs/adam_supplemental_confident_failures_2017.pdf)
"Foster JJ, Sutterer DW, Serences JT, Vogel EK, Awh E",2017,Alpha-band oscillations enable spatially and temporally resolved tracking of covert spatial attention.,*Psychological Science* ,[PDF](/files/pdfs/foster_2017_covert-spatial-attn.pdf) \| [Data](https://osf.io/29nxv/)
Olivers CNL & Awh E,2016,The capacity to detect synchronous audiovisual events is severely limited: Evidence from mixture modeling.,*Journal of Experimental Psychology: Human Perception and Performance*. ,[PDF](/files/pdfs/olivers_2016_synchronous.pdf)
"Ester EF, Sutterer DW, Serences JT, Awh E",2016,Feature-selective modulations in human frontoparietal cortex.,*Journal of Neuroscience*. ,[Article](/files/pdfs/ester_2016_feature_selective.pdf)
Adam KCS & Vogel EK,2016,Tuning in by tuning out distractions.,*PNAS*. ,[PDF](/files/pdfs/adam_2016_tuning.pdf)
Adam KCS & Vogel EK,2016,Reducing failures of working memory with performance feedback.,*Psychonomic Bulletin & Review*. ,[PDF](/files/pdfs/adam_2016_reducing-failures.pdf) \| [Data](https://osf.io/nu8jd/) \| [Supplemental](/files/pdfs/adam_supplemental_feedback_2016/pdf)
"Foster JJ, Sutterer DW, Serences JT, Vogel EK, Awh E",2016,The topography of alpha-band activity tracks the content of spatial working memory.,*Journal of Neurophysiology*. ,[PDF](/files/pdfs/foster_2016_topography.pdf)\| [Data](https://osf.io/bwzfj/)
"Luria R, Balaban H, Awh E, & Vogel EK",2016,The contralateral delay activity as a neural measure of visual working memory.,*Neuroscience & Biobehavioral Reviews*. ,[PDF](/files/pdfs/luria_2016_cda.pdf)
Sutterer DW & Awh E,2016,Retrieval practice enhances the accessibility but not the quality of memory.,*Psychonomic Bulletin & Review*. ,[PDF](/files/pdfs/sutterer_2016_retrieval-practice.pdf) \| [Data](https://osf.io/zfbkr/)
"Eriksson J, Vogel EK, Lansner A, Bergström F, Nyberg L",2015,Neurocognitive architecture of working memory.,*Neuron*. ,[PDF](/files/pdfs/eriksson_2015_neurocognitive.pdf)
"Fukuda K, Mance I, Vogel EK",2015,α Power modulation and event-related slow wave provide dissociable correlates of visual working memory.,*Journal of Neuroscience*. ,[PDF](/files/pdfs/fukuda_2015_power-mod.pdf)
Belopolsky AV & Awh E,2015,The role of context in volitional control of feature-based attention.,*Journal of Experimental Psychology: Human Perception & Performance*. ,[PDF](/files/pdfs/belopolsky_2015_volitional-control.pdf)
"Unsworth N, Fukuda K, Awh E, Vogel EK",2015,Working memory delay activity predicts individual differences in cognitive abilities.,*Journal of Cognitive Neuroscience*. ,[PDF](/files/pdfs/unsworth_2015_wm-delay.pdf)
"Adam KCS, Mance I, Fukuda K, Vogel EK",2015,The contribution of attentional lapses to individual differences in visual working memory capacity.,*Journal of Cognitive Neuroscience*. ,[PDF](/files/pdfs/adam_2015_contribution-attn-lapses.pdf) \| [Data](https://osf.io/z9qkw/)
"Fukuda, K., Woodman, G. F., & Vogel, E. K.",2015,Individual differences in visual working memory capacity: Contributions of attentional control to storage.,"*Mechanisms of Sensory Working Memory: Attention and Perfomance XXV*, 105.",[Link](https://www.elsevier.com/books/mechanisms-of-sensory-working-memory/jolicoeur/978-0-12-811042-3)
"Isbell E, Fukuda K, Neville HJ, Vogel EK",2015,Visual working memory continues to develop through adolescence.,*Frontiers in Psychology*. ,[PDF](/files/pdfs/isbell_2015_vwm-adolescence.pdf)
Awh E & Vogel EK,2015,Attention: Feedback focuses a wandering mind.,*Nature Neuroscience*. ,[PDF](/files/pdfs/awh_vogel_2015_wandering-mind.pdf)
Foster JJ & Adam KCS,2014,Is feature-based attention always spatially global during visual search?,*Journal of Neuroscience* ,[PDF](/files/pdfs/foster_2014_feature-based-attn.pdf)
Luria R & Vogel EK,2014,"Come together, right now: dynamic overwriting of an object’s history through common fate.",*Journal of Cognitive Neuroscience* ,[Link](https://www.mitpressjournals.org/doi/full/10.1162/jocn_a_00584)
"Unsworth N, Fukuda K, Awh E, Vogel EK",2014,"Working memory and fluid intelligence: capacity, attention control and secondary memory retrieval.",*Cognitive Psychology*. ,[PDF](/files/pdfs/unsworth_2014_wm-fluid-intelligence.pdf)
"Drew T, Mance I, Horowitz TS, Wolfe JM, Vogel EK",2014,A soft handoff of attention between cerebral hemispheres.,*Current Biology*. ,[PDF](/files/pdfs/drew_2014_soft-handoff.pdf)
"Van den Berg, R., Awh, E., & Ma, W. J.",2014,Factorial comparison of working memory models.,*Psychological review*. ,[PDF](/files/pdfs/van-den-berg_2014_factorial-comparison.pdf)
"Ester EF, Fukuda K, May LM, Vogel EK, Awh E",2014,Evidence for a discrete resource limit in attending multiple locations.,*Cognitive Affective and Behavioral Neuroscience*. ,[PDF](/files/pdfs/ester_2014_fixed-capacity.pdf)
"Ester EF, Klee D, Awh E",2014,Visual crowding cannot be wholly explained by pooling.,*Journal of Experimental Psychology: Human Perception and Performance*. ,[PDF](/files/pdfs/ester_2014_visual-crowding.pdf)
