authors,year,title,publication,links
"Adam KCS, Vogel E & Awh E",2018,Decoding the limits of simultaneous storage in working memory,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.366)
"Quirk C, Adam KCS & Vogel E",2018,Preexisting spatial biases influence the encoding of information into visual working memory,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.882)
Adam KCS & Vogel E,2018,Improvements to visual working memory performance with practice and feedback,<i>PLoS ONE</i>,[Link](https://doi.org/10.1371/journal.pone.0203279)
"Gunseli E, Foster JJ, Sutterer DW, Vogel E & Awh E",2017,Alpha-Band Activity Tracks Updates to the Content of Spatial Working Memory,,[Link](https://doi.org/10.1167/17.10.337)
"Adam KCS, Foster JJ, Sutterer DW, Vogel E & Awh E",2017,Topography of alpha-band power tracks improvement in working memory precision with repeated encoding,,[Link](https://doi.org/10.1167/17.10.333)
"Foster JJ, Bsales EM & Awh E",2017,Alpha-band activity reveals robust representations of spatial position during the storage of non-spatial features in working memory,,[Link](https://doi.org/10.1167/17.10.335)
"Sutterer DW, Foster JJ, Adam KCS, Vogel E & Awh E",2017,Spatial selectivity of alpha band activity declines with increasing visual working memory load,,[Link](https://doi.org/10.1167/17.10.332)
"Vo VA, Sutterer DW, Foster JJ, Sprague TC, Serences J & Awh E",2017,Neural representations of spatial position recalled from long-term and short-term memory diverge across the cortical hierarchy,,[Link](https://doi.org/10.1167/17.10.1115)
Ngiam W & Awh E,2017,Memory compression using statistical regularities requires explicit awareness,,[Link](https://doi.org/10.1167/17.10.855)
Scolari M & Awh E,2017,Object-based biased competition (Scolari & Awh),,[Link](https://www.semanticscholar.org/paper/bcfe4d6f0790288cfbed5eb51fc4651961af8b98)
"Hakim N, Adam KCS, Gunseli E & Vogel E",2017,Sustained spatial attention is not sufficient to elicit the Contralateral Delay Activity,,[Link](https://doi.org/10.1167/17.10.862)
Feldmann-Wüstefeld T & Vogel E,2017,Suppression of irrelevant information from working memory is reflected in the PD and CDAp components of the EEG,,[Link](https://doi.org/10.1167/17.10.338)
"Tsubomi H, Fukuda K & Vogel E",2017,Protection against interference limits visual capacity to three items independent of retention interval,,[Link](https://doi.org/10.1167/17.10.851)
"Ester EF, Sutterer DW, Serences J & Awh E",2016,Feature-Selective Attentional Modulations in Human Frontoparietal Cortex,<i>Journal of Neuroscience</i>,[Link](https://doi.org/10.1523/JNEUROSCI.3935-15.2016) \| [PDF](/files/pdfs/ester_2016_feature_selective.pdf)
"Ester EF, Sutterer DW, Awh E & Serences J",2016,Visual attention modulates feature-specific representations in human frontoparietal cortex.,,[Link](https://doi.org/10.1167/16.12.606) \| [PDF](/files/pdfs/ester_2016_feature_selective.pdf)
"Fahrenfort JJ, Leeuwen JV, Foster JJ, Awh E & Olivers C",2016,Alpha-band and raw EEG reflect distinct maintenance mechanisms during working memory,,[Link](https://doi.org/10.1167/16.12.711)
Adam KCS & Vogel E,2016,Working memory capacity predicts the efficiency of transfer into long-term memory,,[Link](https://doi.org/10.1167/16.12.1051)
"Tsubomi H, Fukuda K, Kikumoto A & Vogel E",2016,Electrophysiology reveals different mechanisms of attentional filtering during visual working memory encoding and retention,,[Link](https://doi.org/10.1167/16.12.362)
"Foster JJ, Anderson DE, Serences J, Vogel E & Awh E",2015,EEG alpha rhythms track the deployment of spatial attention.,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/15.12.17)
"Sutterer DW, Anderson DE, Serences J, Vogel E & Awh E",2015,Theta Oscillations Track the Content of Representations Retrieved from Long Term Memory.,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/15.12.1113)
Adam KCS & Vogel E,2015,Trial feedback and incentive structures decrease failures of working memory.,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/15.12.663) \| [PDF](/files/pdfs/adam_2015_contribution-attn-lapses.pdf)
"Tsubomi H, Fukuda K, Kikumoto A & Vogel E",2015,Forgetting no-longer necessary items from visual working memory,,[Link](https://doi.org/10.4992/pacjpa.79.0_3am-069)
Dungan B & Vogel E,2015,Short-Term Memory,,[Link](https://doi.org/10.1016/B978-0-12-397025-1.00273-6)
"Anderson DE, Serences J, Vogel E & Awh E",2014,Induced alpha rhythms reveal the content and quality of visual working memory representations with high temporal precision,,[Link](https://doi.org/10.1167/14.10.894)
"Anderson DE, Ester EF, Klee D, Vogel E & Awh E",2014,Electrophysiological Evidence for Failures of Item Individuation in Crowded Visual Displays,<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/jocn_a_00649)
Sutterer DW & Awh E,2014,Testing enhances the probability but not the precision of memory recall,,[Link](https://doi.org/10.1167/14.10.1374)
"Anderson DE, Serences J, Vogel E & Awh E",2014,Induced Alpha Rhythms Track the Content and Quality of Visual Working Memory Representations with High Temporal Precision,<i>Journal of Neuroscience</i>,[Link](https://doi.org/10.1523/JNEUROSCI.0293-14.2014)
"Anderson DE, Vogel E & Awh E",2014,A Neural Measure of Item Individuation,,[Link](https://doi.org/10.1016/B978-0-12-398451-7.00018-X)
"Tsubomi H, Fukuda K, Watanabe K & Vogel E",2014,Electrophysiological measures reveal similar capacity limits for both present and absent information,,[Link](https://doi.org/10.1016/J.IJPSYCHO.2014.08.818)
"Drew T, Mance I, Horowitz T, Wolfe J & Vogel E",2014,Report A Soft Handoff of Attention between Cerebral Hemispheres,,[Link](https://www.semanticscholar.org/paper/41a8689492bf42a33e2100e2bb97e6dcac471e3b) \| [PDF](/files/pdfs/drew_2014_soft-handoff.pdf)
Dungan B & Vogel E,2014,An Attention-centered neural marker for shifts in eye position,,[Link](https://doi.org/10.1167/14.10.642)
"Adam KCS, Mance I, Fukuda K & Vogel E",2014,Trial-by-trial fluctuations in working memory performance predict individual differences in working memory capacity,,[Link](https://doi.org/10.1167/14.10.41)
"Mance I, Adam KCS, Fukuda K & Vogel E",2014,The contribution of attentional lapses to estimates of individual differences in working memory capacity.,,[Link](https://doi.org/10.1167/14.10.40)
"Burg EVd, Awh E & Olivers C",2013,The Capacity of Audiovisual Integration Is Limited to One Item,<i>Psychology Science</i>,[Link](https://doi.org/10.1177/0956797612452865)
"Sutterer DW, Anderson DE & Awh E",2013,Perceptual Precision Predicts Visual Working Memory Precision,,[Link](https://doi.org/10.1167/13.9.1360)
"Anderson DE, Vogel E & Awh E",2013,A Common Discrete Resource for Visual Working Memory and Visual Search,,[Link](https://www.semanticscholar.org/paper/bc64e0da67ce1a25f79d4d039901d4d5e016020f)
"Anderson DE, Ester EF, Serences J & Awh E",2013,Attending multiple items decreases the selectivity of population responses in human primary visual cortex,<i>Journal of Neuroscience</i>,[Link](https://doi.org/10.1523/JNEUROSCI.0239-13.2013)
"Anderson DE, Vogel E & Awh E",2013,Interhemispheric synchrony in occipital cortex predicts mnemonic precision in working memory,,[Link](https://doi.org/10.1167/13.9.16)
"Ester EF, Klee D & Awh E",2013,Visual crowding cannot be wholly explained by feature pooling,<i>Journal of Experimental Psychology: Human Perception and Performance</i>,[Link](https://doi.org/10.1037/a0035377)
"Ester EF, Fukuda K, May LM, Vogel E & Awh E",2013,Evidence for a fixed capacity limit in attending multiple locations,"<i>Cognitive, Affective, & Behavioral Neuroscience</i>",[Link](https://doi.org/10.3758/s13415-013-0222-2)
"Adam KCS, Mance I, Awh E & Vogel E",2013,Whole-report procedures reveal bimodal distribution of visual memory precision within a single array.,,[Link](https://doi.org/10.1167/13.9.1362)
"LeCompte M, Batchelor D, Demitroff M, Vogel E, Mooney C, Rock B & Seidel AW",2013,Reply to Boslough: Prior studies validating research are ignored,<i>Proceedings of the National Academy of Sciences of the United States of America</i>,[Link](https://doi.org/10.1073/pnas.1300425110)
"Mance I, Fukuda K & Vogel E",2013,Decoding trial by trial variations in VWM performance from oscillatory activity during maintenance.,,[Link](https://doi.org/10.1167/13.9.18) \| [PDF](/files/pdfs/mance_2013_vwm.pdf)
Mance I & Vogel E,2013,Visual working memory.,<i>Wiley Interdisciplinary Reviews: Cognitive Science</i>,[Link](https://doi.org/10.1002/wcs.1219) \| [PDF](/files/pdfs/mance_2013_vwm.pdf)
"Tsubomi H, Fukuda K, Kikumoto A & Vogel E",2013,Forget all or hold all: Difficulty in selectively dropping items from visual working memory.,,[Link](https://doi.org/10.1167/13.9.326) \| [PDF](/files/pdfs/tsubomi_2013_neural-limits.pdf)
"Dungan B, Kikumoto A & Vogel E",2013,Hemispheric remapping in VWM across changes in attention and eye position,,[Link](https://doi.org/10.1167/13.9.17)
Luck S & Vogel E,2013,Visual Working Memory Capacity: From Psychophysics and Neurobiology to Individual Differences,<i>Trends in Cognitive Sciences</i>,[Link](https://doi.org/10.1016/j.tics.2013.06.006) \| [PDF](/files/pdfs/luck_2013_vwm-capacity.pdf)
"Anderson DE, Vogel E & Awh E",2012,Working memory is integral to visual search,,[Link](https://doi.org/10.1167/12.9.708)
"Anderson DE, Bell TA & Awh E",2012,Polymorphisms in the 5-HTTLPR Gene Mediate Storage Capacity of Visual Working Memory,<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/jocn_a_00207)
"Anderson DE, Vogel E & Awh E",2012,Journal of Experimental Psychology : Human Perception and Performance Selection and Storage of Perceptual Groups Is Constrained by a Discrete Resource in Working Memory,,[Link](https://www.semanticscholar.org/paper/dd3e89c8b25c591d2055c5307a676a3489970248)
Mance I & Vogel E,2012,Temporal Dynamics of Shifting Visual Attention Between Cerebral Hemispheres,,[Link](https://doi.org/10.1167/12.9.541)
"Mayer JS, Fukuda K, Vogel E & Park S",2012,Impaired Contingent Attentional Capture Predicts Reduced Working Memory Capacity in Schizophrenia,<i>PLoS ONE</i>,[Link](https://doi.org/10.1371/journal.pone.0048586) \| [PDF](/files/pdfs/mayer_2012_impaired-contingent-attn.pdf)
Luria R & Vogel E,2012,Neural signature for the temporal dynamics of online visual object binding.,,[Link](https://doi.org/10.1167/12.9.1274)
"Tsubomi H, Fukuda K & Vogel E",2012,Retro-cue improves visual working memory performance without changing the number of items being maintained,,[Link](https://doi.org/10.1167/12.9.349)
Dungan B & Vogel E,2012,Stable Visual Working Memory Representations Across Changes in Eye Position,,[Link](https://doi.org/10.1167/12.9.173)
Fukuda K & Vogel E,2012,"Oscillatory mechanism underlying the VSTM capacity limit: In mind, out of phase",,[Link](https://doi.org/10.1167/12.9.346)
"Drew T, Horowitz T & Vogel E",2012,Swapping or Dropping? Electrophysiological measures of difficulty during multiple object tracking,<i>Cognition</i>,[Link](https://doi.org/10.1016/j.cognition.2012.10.003) \| [PDF](/files/pdfs/drew_2012_dynamic-changes.pdf)
"Anderson DE, Vogel E & Awh E",2011,Precision in Visual Working Memory Reaches a Stable Plateau When Individual Item Limits Are Exceeded,<i>Journal of Neuroscience</i>,[Link](https://doi.org/10.1523/JNEUROSCI.4125-10.2011)
Anderson DE & Awh E,2011,Perceptual grouping enables multiple items to be stored within a single slot in visual working memory,,[Link](https://doi.org/10.1167/11.11.1246)
"Ester EF, Klee D & Awh E",2011,No evidence for compulsory integration in visual crowding,,[Link](https://doi.org/10.1167/11.11.1139)
McCollough A & Vogel E,2011,Electrophysiological Measures of Visual Grouping on Working Memory Representations,,[Link](https://doi.org/10.1167/11.11.1277)
Fukuda K & Vogel E,2011,Visual short term memory also gates long term memory without explicit retrieval,,[Link](https://doi.org/10.1167/11.11.1275) \| [PDF](/files/pdfs/fukuda_2011_individual-differences.pdf)
"Jost K, Bryck RL, Vogel E & Mayr U",2011,Are old adults just like low working memory young adults? Filtering efficiency and age differences in visual working memory.,<i>Cerebral Cortex</i>,[Link](https://doi.org/10.1093/cercor/bhq185)
"Spronk M, Vogel E & Jonkman L",2011,Are visuospatial working memory deficits in adolescents related to reduced storage capacity and/or impaired filtering efficiency?,,[Link](https://www.semanticscholar.org/paper/481f6cbda7f70406ace0921aa6dba1f0a25ec87c)
Perez V & Vogel E,2011,What ERPs Can Tell Us about Working Memory,,[Link](https://doi.org/10.1093/OXFORDHB/9780195374148.013.0180) \| [PDF](/files/pdfs/perez_2011_ERPSs-vwm.pdf)
"Tsubomi H, Fukuda K & Vogel E",2011,Neural measures reveal similar capacity limits for both present and absent information,,[Link](https://doi.org/10.1167/11.11.1260)
"Spronk M, Vogel E & Jonkman L",2011,The role of filtering efficiency in working memory capacity in adolescents with and without attention-deficit / hyperactivity disorder,,[Link](https://www.semanticscholar.org/paper/db69faddcae64f064695773983444d26ad718ab1)
Umemoto A & Awh E,2010,Feature-based versus Object-based forgetting in Visual Working Memory,,[Link](https://doi.org/10.1167/10.7.765)
"Ester EF, Fukuda K, Vogel E & Awh E",2010,Evidence For a Fixed Capacity Limit in Visual Selection,,[Link](https://doi.org/10.1167/10.7.737)
"Umemoto A, Scolari M, Vogel E & Awh E",2010,Implicit knowledge biases encoding into visual working memory,,[Link](https://doi.org/10.1167/8.6.209)
"Perez V, Awh E & Vogel E",2010,Object complexity does not reduce the number of representations that can be maintained in visual working memory,,[Link](https://doi.org/10.1167/7.9.852)
"Umemoto A, Drew T, Ester EF & Awh E",2010,A bilateral advantage for resolution in visual working memory,,[Link](https://doi.org/10.1167/9.8.592) \| [PDF](/files/pdfs/umemoto_2010_bilateral-advantage.pdf)
"Ester EF, Serences J & Awh E",2010,Global mechanisms of sensory recruitment during working memory maintenance,,[Link](https://doi.org/10.1167/9.8.597)
Anderson DE & Awh E,2010,Variations in mnemonic resolution across set sizes support discrete resource models of capacity in working memory,,[Link](https://doi.org/10.1167/10.7.731)
Barton B & Awh E,2010,Interactions between number and resolution in visual working memory,,[Link](https://doi.org/10.1167/7.9.849)
"Awh E, Mayr U & Kohnen A",2010,Top-down control over unconscious response priming through stimuulus-specific gating,,[Link](https://doi.org/10.1167/5.8.637)
"Mednick S, Serences J, Boynton G & Awh E",2010,Sleep-dependent perceptual learning with and without distractors,,[Link](https://doi.org/10.1167/6.6.164)
"Ester EF, Awh E, Vogel E & Serences J",2010,Attention does not automatically spread to all features of an object,,[Link](https://doi.org/10.1167/8.6.554)
"Awh E, Matsukura M & Serences J",2010,Top-down modulation of biased competition during covert spatial orienting,,[Link](https://doi.org/10.1167/2.7.15)
Awh E & Dhaliwal H,2010,Interference during the attentional blink is feature-based rather than object-based,,[Link](https://doi.org/10.1167/6.6.1021)
Fukuda K & Vogel E,2010,Individual difference in “release time” from attentional capture,,[Link](https://doi.org/10.1167/9.8.110)
"Luck S, Woodman GF, Schmidt B, Vogel E & Vecera S",2010,The effects of attentional capture on visual working memory,,[Link](https://doi.org/10.1167/2.7.272)
